Mode_Index,Frequency_THz,Cv_Anharmonic_eV_K
0,0.0,0.0
1,0.2131995307331324,8.611127388541823e-05
2,0.4212807530879884,8.593294473066383e-05
3,0.6196183804337899,8.565941026721499e-05
4,0.8045821908552391,8.531913223421407e-05
5,0.9741042297457525,8.494062712568212e-05
6,1.128314728343149,8.454548103896488e-05
7,1.2700377677675134,8.414309260659473e-05
8,1.4047059506449366,8.37286220100103e-05
9,1.5393117247311452,8.328541524987499e-05
10,1.6805719366471952,8.279149014401502e-05
11,1.8331978394522916,8.222713208526074e-05
12,1.999110512568715,8.158022152032547e-05
13,0.1783901254224084,8.612984520206761e-05
14,0.32428605753068596,8.603028297251512e-05
15,0.5068893287869043,8.582691773959846e-05
16,0.6868302784367736,8.554493264837016e-05
17,0.8545902554973822,8.521385439617859e-05
18,1.0069968324458265,8.48602615871468e-05
19,1.1444493299892537,8.450150657440032e-05
20,1.270467979494185,8.414181701852219e-05
21,1.3910853119376543,8.377189526257221e-05
22,1.5135506692972007,8.337237377802782e-05
23,1.6446014218604124,8.291994186403321e-05
24,1.789009766615613,8.239366178849696e-05
25,1.9136046896883832,8.191779985920785e-05
26,1.756001559812765,8.251641160306171e-05
27,1.6128332612473681,8.303188512375336e-05
28,1.4815161003389996,8.34791182586739e-05
29,1.3563982321612609,8.388074500527115e-05
30,1.2302912591431958,8.425955641515151e-05
31,1.0961553970292834,8.463167694048343e-05
32,0.948673190362366,8.500125810541072e-05
33,0.7852670993742787,8.535832032875775e-05
34,0.606777017963101,8.568005683768378e-05
35,0.4198717873218691,8.593453341967355e-05
36,0.25454121974924077,8.608498069687132e-05
37,0.3371019462978034,8.60188314277427e-05
38,0.44656277601646793,8.590357213461798e-05
39,0.5932427052152612,8.570138669506972e-05
40,0.7451791976674509,8.543698593273991e-05
41,0.8897459550670888,8.513660306714431e-05
42,1.0225793604492777,8.482143337393898e-05
43,1.1440921057645541,8.45024854081881e-05
44,1.258178809554892,8.417812892203275e-05
45,1.3710065165763519,8.383514173402476e-05
46,1.489373819566791,8.345307907495863e-05
47,1.6189375917938786,8.301048548910648e-05
48,1.7629359008945429,8.249074266086192e-05
49,1.704659001185474,8.270448141994453e-05
50,1.5583798349559224,8.322041625373956e-05
51,1.426255603310008,8.365955435961134e-05
52,1.3032131381901897,8.404379724635538e-05
53,1.1820720535670357,8.439710401866298e-05
54,1.0559257944245077,8.473673263828321e-05
55,0.9201885109760215,8.506758814345355e-05
56,0.7744164770120674,8.537996993412605e-05
57,0.6250790342777558,8.565051041227425e-05
58,0.49243650421459156,8.584611912282034e-05
59,0.46145988018002726,8.588550001372308e-05
60,0.5415068874559859,8.57788048908695e-05
61,0.6559707295741225,8.559882182974583e-05
62,0.7813219811280167,8.536622228570867e-05
63,0.9053720103559262,8.510142165634753e-05
64,1.0235302279962166,8.481904842997901e-05
65,1.1361890197385445,8.452408027139587e-05
66,1.2470119345432913,8.421089762777806e-05
67,1.3612150014463267,8.386574682609502e-05
68,1.4837123685254927,8.347184966846487e-05
69,1.617607487779526,8.301515286821218e-05
70,1.6567382642853625,8.287680114078685e-05
71,1.4998277423446125,8.341829099274526e-05
72,1.360881535871532,8.386678637553397e-05
73,1.237557946144744,8.423846989336607e-05
74,1.123811066646642,8.455766911634019e-05
75,1.0132639388695386,8.484470335418188e-05
76,0.9022405047519905,8.510851342200272e-05
77,0.7924220814100036,8.534390045602948e-05
78,0.693552793679438,8.55328972808166e-05
79,0.5453415134970909,8.577329235044533e-05
80,0.6011888358097147,8.568891744481957e-05
81,0.6912773121679087,8.553698288856777e-05
82,0.7979160498849672,8.533275075858283e-05
83,0.9100488822868594,8.50907917516532e-05
84,1.0229316862031386,8.482054988719608e-05
85,1.1363037429187086,8.452376762377297e-05
86,1.2524715260280121,8.419490379835845e-05
87,1.3744005789758218,8.382449656849332e-05
88,1.504121431879628,8.340395472089159e-05
89,1.6059077102930972,8.305609954995754e-05
90,1.4360278632383983,8.362799208228807e-05
91,1.2882456693981204,8.408882796475538e-05
92,1.1647830562369916,8.444540232496658e-05
93,1.0621311369528348,8.472073133393973e-05
94,0.9749358280107328,8.493862221394566e-05
95,0.8996125318063044,8.511444890814214e-05
96,0.8368814782514113,8.52517597846859e-05
97,0.5932363309006355,8.570139663635321e-05
98,0.6332764121174872,8.56370161137875e-05
99,0.7100545910848917,8.550290842783393e-05
100,0.8089935711734877,8.531006595573226e-05
101,0.9193707800403879,8.506946742223598e-05
102,1.0356458361278142,8.478850414168333e-05
