Mode_Index,Frequency_THz,Cv_Contribution_eV_K
0,0.0,0.0
1,0.237475594153657,8.608011608570998e-05
2,0.450230078646182,8.583883513436574e-05
3,0.6387095284957344,8.550173950903599e-05
4,0.810884542459409,8.509395433170153e-05
5,0.9707285448084064,8.463150940378018e-05
6,1.1193830890143082,8.41304004740833e-05
7,1.2569499884040694,8.360699976511202e-05
8,1.3828128013464727,8.30790393854502e-05
9,1.4951119030765678,8.256930533703994e-05
10,1.58989938695349,8.211132564728344e-05
11,1.6606086467126024,8.175349138307464e-05
12,1.699056287230854,8.155320785180315e-05
13,0.2401481697946797,8.607800754255207e-05
14,0.39225754573619737,8.591928774147866e-05
15,0.5616794333548263,8.565341106201455e-05
16,0.7214050023036264,8.531768103692019e-05
17,0.8706843970921637,8.493031690755283e-05
18,1.011230574361667,8.450170118170609e-05
19,1.144548172689196,8.40389016254406e-05
20,1.2714685038608335,8.354847006009025e-05
21,1.3914459627682785,8.304113519224223e-05
22,1.5016391151505355,8.253857502728726e-05
23,1.5961500735208785,8.208024627577777e-05
24,1.6661978579618508,8.172462423753512e-05
25,1.679737791266506,8.165434222992002e-05
26,1.6287751020658374,8.191628406079005e-05
27,1.5466290349412175,8.232350437320289e-05
28,1.4445932364319125,8.28030690123545e-05
29,1.3315423652140383,8.329969423881377e-05
30,1.2120957026840598,8.378387655802463e-05
31,1.0871918231019564,8.424464818175458e-05
32,0.9555965834939186,8.467870489024916e-05
33,0.8152227524066556,8.50824623814864e-05
34,0.6638796613611919,8.544803766149365e-05
35,0.500494312559373,8.576020569835164e-05
36,0.3355167963279912,8.598737982469343e-05
37,0.42784415922418456,8.587120304132761e-05
38,0.5279437364690777,8.571379661205278e-05
39,0.6500265184496594,8.547784588559933e-05
40,0.7763038980286733,8.518342990713622e-05
41,0.9025099114171202,8.483864909112498e-05
42,1.0284204506297732,8.444507921091525e-05
43,1.1543127728084848,8.400288307896129e-05
44,1.279393653536604,8.351625811826963e-05
45,1.4008192059754625,8.299973823787386e-05
46,1.5130638151220572,8.248449829537503e-05
47,1.6078296001323484,8.202188518574791e-05
48,1.6356302094507467,8.188146151107497e-05
49,1.5705178775682984,8.220700662305388e-05
50,1.474391501141066,8.266606007812342e-05
51,1.3638478486713002,8.316154896913977e-05
52,1.2508524324468668,8.363139542400257e-05
53,1.1409957294762774,8.405193412533508e-05
54,1.0344897556296473,8.442487049357047e-05
